package,requested_catalog_or_alias,locked_versions,registry_latest_2026_09_22,latest_present_in_lock,advisory_records,note
video.js,^8.23.9,8.23.9,8.24.1,False,0,Latest dist-tag comparison only; not upgrade compatibility advice
vite,^8.1.4,8.1.4,8.3.0,False,0,Latest dist-tag comparison only; not upgrade compatibility advice
vite-tsconfig-paths,^6.1.1,6.1.1,6.1.1,True,0,Latest dist-tag comparison only; not upgrade compatibility advice
vitest,^4.1.10,4.1.10,5.0.1,False,1,Latest dist-tag comparison only; not upgrade compatibility advice
winston,3.19.0,3.19.0,3.19.0,True,0,Latest dist-tag comparison only; not upgrade compatibility advice
ws,^8.21.0,7.5.11; 8.21.0,8.21.3,False,0,Latest dist-tag comparison only; not upgrade compatibility advice
xml2js,^0.6.2,0.6.2,0.6.2,True,0,Latest dist-tag comparison only; not upgrade compatibility advice
yaml,2.9.0,2.9.0,2.9.1,False,0,Latest dist-tag comparison only; not upgrade compatibility advice
zod,^4.4.3,4.4.3,4.6.5,False,0,Latest dist-tag comparison only; not upgrade compatibility advice
zod-form-data,^3.0.2,3.0.2,3.0.3,False,0,Latest dist-tag comparison only; not upgrade compatibility advice
zod-validation-error,^5.0.0,5.0.0,5.0.0,True,0,Latest dist-tag comparison only; not upgrade compatibility advice
